timestamp,user,role,message,sentiment,compound
2026-05-20T12:28:00.503741Z,anonymous,user,how to prepare for class 10 board exams ?,neutral,0.0
2026-05-20T12:28:00.503741Z,anonymous,assistant,"[OpenAI error] Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}} | fallback failed: 

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742
",,0.0
2026-05-20T12:39:51.919477Z,anonymous,user,Class 10 maths,neutral,0.0
2026-05-20T12:39:51.922475Z,anonymous,assistant,"[Mock reply] I heard: 'class 10 maths'. Try asking about courses, schedules, or careers.",,0.0
2026-05-20T12:44:01.622342Z,anonymous,user,Class 10 maths,neutral,0.0
2026-05-20T12:44:01.622342Z,anonymous,assistant,"[Google API error] 404: {'error': {'code': 404, 'message': 'Requested entity was not found.', 'status': 'NOT_FOUND'}} | Falling back to mock reply:
[Mock reply] I heard: 'class 10 maths'. Try asking about courses, schedules, or careers.",,0.0
2026-05-20T12:45:37.481808Z,anonymous,user,Class 10 maths,neutral,0.0
2026-05-20T12:45:37.481808Z,anonymous,assistant,"[Google API error] 404: {'error': {'code': 404, 'message': 'models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}} | Falling back to mock reply:
[Mock reply] I heard: 'class 10 maths'. Try asking about courses, schedules, or careers.",,0.0
2026-05-20T12:48:17.964197Z,anonymous,user,Class 10 maths,neutral,0.0
2026-05-20T12:48:17.964554Z,anonymous,assistant,"[Google API error] 503: {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}} | Falling back to mock reply:
[Mock reply] I heard: 'class 10 maths'. Try asking about courses, schedules, or careers.",,0.0
2026-05-20T12:50:21.800531Z,anonymous,user,Class 10 maths,neutral,0.0
2026-05-20T12:50:21.800531Z,anonymous,assistant,Class 10 Maths is a crucial year as it lays the foundation for higher studies in science and commerce,,0.0
2026-05-20T12:50:57.130906Z,anonymous,user,Tell me how to prepare for class 10 maths board exam.,neutral,0.0
2026-05-20T12:50:57.130906Z,anonymous,assistant,"[Google API error] 400: {'error': {'code': 400, 'message': 'The requested combination of response modalities (TEXT) is not supported by the model. models/gemini-2.5-flash-preview-tts accepts the following combination of response modalities:\n* AUDIO\n', 'status': 'INVALID_ARGUMENT'}} | Falling back to mock reply:
[Mock reply] I heard: 'tell me how to prepare for class 10 maths board exam.'. Try asking about courses, schedules, or careers.",,0.0
2026-05-20T12:52:30.281545Z,anonymous,user,Tell me how to prepare for class 10 maths board exam.,neutral,0.0
2026-05-20T12:52:30.281545Z,anonymous,assistant,Preparing for the Class 10 Maths Board Exam requires a strategic and consistent approach. It,,0.0
2026-05-20T12:52:59.886934Z,anonymous,user,tell me proper steps about it,neutral,0.0
2026-05-20T12:52:59.886934Z,anonymous,assistant,"To give you ""proper steps,"" I need to know what ""it"" refers to!",,0.0
2026-05-20T12:55:05.279790Z,anonymous,user,Tell me how to prepare for class 10 maths board exam.,neutral,0.0
2026-05-20T12:55:05.279790Z,anonymous,assistant,"That's a fantastic question! Preparing for the Class 10 Maths Board Exam requires a strategic approach, consistent effort, and smart practice. Here's a comprehensive guide to help you ace it:

### Phase 1: Understanding the Foundation (Early Preparation)

1.  **Master the NCERT Textbook:**
    *   **Your Bible:** The NCERT textbook is the most crucial resource. Board exams are heavily based on its concepts, examples, and exercise questions.
    *   **Understand Concepts:** Don't just memorize formulas. Understand *why* a formula works and *how* a",,0.0
2026-05-20T12:58:47.428501Z,anonymous,user,Tell me how to prepare for class 10 maths board exam.,neutral,0.0
2026-05-20T12:58:47.428501Z,anonymous,assistant,"[Google API error] 500: {'error': {'code': 500, 'message': 'Internal error encountered.', 'status': 'INTERNAL'}} | Falling back to mock reply:
[Mock reply] I heard: 'tell me how to prepare for class 10 maths board exam.'. Try asking about courses, schedules, or careers.",,0.0
2026-05-20T13:00:42.845290Z,anonymous,user,Tell me how to prepare for class 10 maths board exam.,neutral,0.0
